2021-05-03 03:07:51,953: 	 --> [DEBUG] 	 In 1992 there's an empty value for TWN
2021-05-03 03:07:51,953: 	 --> [DEBUG] 	 In 1993 there's an empty value for TWN
2021-05-03 03:07:51,953: 	 --> [DEBUG] 	 In 1994 there's an empty value for TWN
2021-05-03 03:07:51,953: 	 --> [DEBUG] 	 In 1995 there's an empty value for TWN
2021-05-03 03:07:51,953: 	 --> [DEBUG] 	 In 1996 there's an empty value for TWN
2021-05-03 03:07:51,953: 	 --> [DEBUG] 	 In 1997 there's an empty value for TWN
2021-05-03 03:07:51,954: 	 --> [DEBUG] 	 In 1998 there's an empty value for TWN
2021-05-03 03:07:51,954: 	 --> [DEBUG] 	 In 1999 there's an empty value for TWN
2021-05-03 03:07:51,972: 	 --> [DEBUG] 	 In 2020 there's an empty value for TWN
2021-05-03 03:07:51,973: 	 --> [INFO] 	 Chosen country: EST
2021-05-03 03:07:51,974: 	 --> [INFO] 	 Chosen country years limits: 2002 - 2018
2021-05-03 03:07:51,974: 	 --> [DEBUG] 	 In 1990 there's an empty value for EST
2021-05-03 03:07:51,974: 	 --> [DEBUG] 	 In 1991 there's an empty value for EST
2021-05-03 03:07:51,974: 	 --> [DEBUG] 	 In 1992 there's an empty value for EST
2021-05-03 03:07:51,975: 	 --> [DEBUG] 	 In 1993 there's an empty value for EST
2021-05-03 03:07:51,975: 	 --> [DEBUG] 	 In 1994 there's an empty value for EST
2021-05-03 03:07:51,975: 	 --> [DEBUG] 	 In 1995 there's an empty value for EST
2021-05-03 03:07:51,975: 	 --> [DEBUG] 	 In 1996 there's an empty value for EST
2021-05-03 03:07:51,975: 	 --> [DEBUG] 	 In 1997 there's an empty value for EST
2021-05-03 03:07:51,977: 	 --> [DEBUG] 	 In 1998 there's an empty value for EST
2021-05-03 03:07:51,977: 	 --> [DEBUG] 	 In 1999 there's an empty value for EST
2021-05-03 03:07:51,978: 	 --> [DEBUG] 	 In 2000 there's an empty value for EST
